"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii"
"「月風魔伝」龍骨鬼戦 yks Remix","NOVICE","20","1","138","0","84","0","8","46","138","138","107","105","81","61","56","55","55","54","50","9364806","621906","9989782","9005449","0","9227793","9454412","9559491","8623978","9676917","9174387","9509537","9166212","9573115","9002724","9336966","9633587","0",\N,\N
"「月風魔伝」龍骨鬼戦 yks Remix","ADVANCED","20","2","284","38","175","17","23","31","284","279","240","215","174","136","107","84","69","59","41","9340899","640473","9343370","9671474","9358211","9399976","9255267","8643544","9627016","9575187","9261675","8842876","9271072","9250194","9686698","9020432","9523428","10000000",\N,\N
"「月風魔伝」龍骨鬼戦 yks Remix","EXHAUST","20","3","814","14","296","280","115","109","804","804","790","729","643","572","502","456","326","226","149","9543148","1125803","9803169","9745924","8316374","9702762","9660290","9513902","9575409","9643635","9665923","7957201","9696171","9696518","9546058","9551933","9685091","9817444",\N,\N
"「月風魔伝」龍骨鬼戦 yks Remix","INFINITE","20","5","1356","123","211","759","144","119","1346","1342","1342","1333","1318","1296","1229","1106","926","642","351","9828441","677181","9874212","9902707","9740268","9875442","9806714","9718374","9917662","9700960","9759664","9852080","9891000","9932218","9751207","9588091","9839114","9971019",\N,\N
"good high school","NOVICE","21","1","152","6","25","5","16","100","146","146","146","146","145","141","141","122","121","114","113","9550590","1940432","9894704","9491379","0","9975450","9234335","9112068","10000000","9909372","9960345","10000000","7514138","9992816","9880172","10000000","9994492","0",\N,\N
"good high school","ADVANCED","21","2","330","5","143","1","78","103","330","325","325","325","303","286","253","245","208","195","129","9790971","417969","9919276","9273972","9471624","9960021","9784317","9935420","9811495","9517272","9954175","9792532","9756301","9810102","9599695","9984779","9908431","10000000",\N,\N
"good high school","EXHAUST","21","3","1486","17","77","119","446","827","1486","1486","1486","1485","1471","1461","1445","1441","1404","1333","1122","9968453","109672","9987001","9984782","9976541","9987592","9969486","9922533","9941688","9972240","9965795","9944306","9991483","9969093","9956413","9981838","9962684","9992911",\N,\N
"good high school","INFINITE","21","5","1503","10","216","1122","79","76","1503","1503","1503","1497","1487","1425","1281","1077","733","408","175","9840759","165603","9885853","9801764","9728482","9791753","9841585","9871052","9934627","9635375","9658617","9722431","9832162","9885601","9871683","9811545","9926208","9875966",\N,\N
"Evans VolteX Pf arrange","NOVICE","22","1","248","0","188","0","19","41","248","248","236","222","152","113","76","76","76","51","49","9470668","406756","9645737","9322580","9373954","9342221","9552214","9365591","9441129","9519749","9340967","9555107","9495463","9538786","9313093","9233486","9620535","0",\N,\N
"Evans VolteX Pf arrange","ADVANCED","22","2","564","102","392","9","47","14","564","558","449","314","215","146","114","95","75","42","25","9109690","592385","9455800","9116686","8618787","9362153","9151121","8918001","8996605","9282380","8978275","9069011","9168389","9042940","9014836","8970687","9167366","9186947",\N,\N
